rank,song_title,artist,year
1,Tik Tok,Kesha,2010
2,Need You Now,Lady Antebellum,2010
3,"Hey, Soul Sister",Train,2010
4,California Gurls,"Katy Perry, Snoop Dogg",2010
5,OMG,"Usher, will.i.am",2010
6,Airplanes,"B.o.B, Hayley Williams",2010
7,Love the Way You Lie,"Eminem, Rihanna",2010
8,Bad Romance,Lady Gaga,2010
9,Dynamite,Taio Cruz,2010
10,Break Your Heart,"Taio Cruz, Ludacris",2010
11,Nothin' on You,"B.o.B, Bruno Mars",2010
12,I Like It,"Enrique Iglesias, Pitbull",2010
13,BedRock,"Young Money, Lloyd",2010
14,In My Head,Jason Derulo,2010
15,Rude Boy,Rihanna,2010
16,Telephone,"Lady Gaga, Beyoncé",2010
17,Teenage Dream,Katy Perry,2010
18,Just the Way You Are,Bruno Mars,2010
19,Cooler Than Me,Mike Posner,2010
20,Imma Be,The Black Eyed Peas,2010
21,Empire State of Mind,"Jay-Z, Alicia Keys",2010
22,DJ Got Us Fallin' in Love,"Usher, Pitbull",2010
23,Billionaire,"Travie McCoy, Bruno Mars",2010
24,Not Afraid,Eminem,2010
25,Replay,Iyaz,2010
26,Sexy Bitch,"David Guetta, Akon",2010
27,Breakeven,The Script,2010
28,Your Love Is My Drug,Kesha,2010
29,I Gotta Feeling,The Black Eyed Peas,2010
30,Fireflies,Owl City,2010
31,Say Aah,"Trey Songz, Fabolous",2010
32,Find Your Love,Drake,2010
33,Alejandro,Lady Gaga,2010
34,Ridin' Solo,Jason Derulo,2010
35,Just a Dream,Nelly,2010
36,How Low,Ludacris,2010
37,Like a G6,"Far East Movement, The Cataracs, Dev",2010
38,Carry Out,"Timbaland, Justin Timberlake",2010
39,Haven't Met You Yet,Michael Bublé,2010
40,Club Can't Handle Me,"Flo Rida, David Guetta",2010
41,Down,"Jay Sean, Lil Wayne",2010
42,Bulletproof,La Roux,2010
43,Whatcha Say,Jason Derulo,2010
44,Baby,"Justin Bieber, Ludacris",2010
45,Whataya Want from Me,Adam Lambert,2010
46,Mine,Taylor Swift,2010
47,Only Girl (In the World),Rihanna,2010
48,Live Like We're Dying,Kris Allen,2010
49,Hard,"Rihanna, Jeezy",2010
50,Young Forever,"Jay-Z, Mr Hudson",2010
51,Blah Blah Blah,"Kesha, 3OH!3",2010
52,Bottoms Up,"Trey Songz, Nicki Minaj",2010
53,Do You Remember,"Jay Sean, Sean Paul, Lil Jon",2010
54,All the Right Moves,OneRepublic,2010
55,According to You,Orianthi,2010
56,My Chick Bad,"Ludacris, Nicki Minaj",2010
57,You Belong with Me,Taylor Swift,2010
58,Meet Me Halfway,The Black Eyed Peas,2010
59,Take It Off,Kesha,2010
60,Over,Drake,2010
61,Animal,Neon Trees,2010
62,Misery,Maroon 5,2010
63,Magic,"B.o.B, Rivers Cuomo",2010
64,Paparazzi,Lady Gaga,2010
65,Tie Me Down,"New Boyz, Ray J",2010
66,Your Love,Nicki Minaj,2010
67,Party in the U.S.A.,Miley Cyrus,2010
68,Deuces,"Chris Brown, Tyga, Kevin McCall",2010
69,3,Britney Spears,2010
70,Impossible,Shontelle,2010
71,Forever,"Drake, Kanye West, Lil Wayne, Eminem",2010
72,Two Is Better Than One,"Boys Like Girls, Taylor Swift",2010
73,My First Kiss,"3OH!3, Kesha",2010
74,Already Gone,Kelly Clarkson,2010
75,Rock That Body,The Black Eyed Peas,2010
76,Secrets,OneRepublic,2010
77,Naturally,Selena Gomez & the Scene,2010
78,Un-Thinkable (I'm Ready),Alicia Keys,2010
79,All I Do Is Win,"DJ Khaled, T-Pain, Ludacris, Snoop Dogg, Rick Ross",2010
80,I Made It (Cash Money Heroes),"Kevin Rudolf, Birdman, Jay Sean, Lil Wayne",2010
81,Stuck Like Glue,Sugarland,2010
82,Hey Daddy (Daddy's Home),"Usher, Plies",2010
83,There Goes My Baby,Usher,2010
84,Today Was a Fairytale,Taylor Swift,2010
85,Say Something,"Timbaland, Drake",2010
86,Sweet Dreams,Beyoncé,2010
87,Use Somebody,Kings of Leon,2010
88,Undo It,Carrie Underwood,2010
89,Eenie Meenie,"Sean Kingston, Justin Bieber",2010
90,Right Above It,"Lil Wayne, Drake",2010
91,The House That Built Me,Miranda Lambert,2010
92,If I Die Young,The Band Perry,2010
93,The Only Exception,Paramore,2010
94,American Honey,Lady Antebellum,2010
95,King of Anything,Sara Bareilles,2010
96,Life After You,Daughtry,2010
97,Smile,Uncle Kracker,2010
98,Teach Me How to Dougie,Cali Swag District,2010
99,Try Sleeping with a Broken Heart,Alicia Keys,2010
100,"Lover, Lover",Jerrod Niemann,2010
