rank,song_title,artist,year
1,Boom Boom Pow,The Black Eyed Peas,2009
2,Poker Face,Lady Gaga,2009
3,Just Dance,"Lady Gaga, Colby O'Donis",2009
4,I Gotta Feeling,The Black Eyed Peas,2009
5,Love Story,Taylor Swift,2009
6,Right Round,Flo Rida,2009
7,I'm Yours,Jason Mraz,2009
8,Single Ladies (Put a Ring on It),Beyoncé,2009
9,Heartless,Kanye West,2009
10,Gives You Hell,The All-American Rejects,2009
11,You Belong with Me,Taylor Swift,2009
12,Dead and Gone,"T.I., Justin Timberlake",2009
13,You Found Me,The Fray,2009
14,Use Somebody,Kings of Leon,2009
15,Knock You Down,"Keri Hilson, Kanye West, Ne-Yo",2009
16,Blame It,"Jamie Foxx, T-Pain",2009
17,I Know You Want Me (Calle Ocho),Pitbull,2009
18,Live Your Life,"T.I., Rihanna",2009
19,Kiss Me thru the Phone,"Soulja Boy Tell 'Em, Sammie",2009
20,Down,"Jay Sean, Lil Wayne",2009
21,The Climb,Miley Cyrus,2009
22,Best I Ever Had,Drake,2009
23,My Life Would Suck Without You,Kelly Clarkson,2009
24,Halo,Beyoncé,2009
25,Hot n Cold,Katy Perry,2009
26,Second Chance,Shinedown,2009
27,Circus,Britney Spears,2009
28,Day 'n' Nite,Kid Cudi,2009
29,Party in the U.S.A.,Miley Cyrus,2009
30,Don't Trust Me,3OH!3,2009
31,Run This Town,"Jay-Z, Rihanna, Kanye West",2009
32,Let It Rock,"Kevin Rudolf, Lil Wayne",2009
33,Fire Burning,Sean Kingston,2009
34,Whatcha Say,Jason Derulo,2009
35,LoveGame,Lady Gaga,2009
36,Waking Up in Vegas,Katy Perry,2009
37,Birthday Sex,Jeremih,2009
38,Sober,Pink,2009
39,Womanizer,Britney Spears,2009
40,Whatever You Like,T.I.,2009
41,Obsessed,Mariah Carey,2009
42,Mad,Ne-Yo,2009
43,Good Girls Go Bad,"Cobra Starship, Leighton Meester",2009
44,Love Lockdown,Kanye West,2009
45,So What,Pink,2009
46,Hotel Room Service,Pitbull,2009
47,Crack a Bottle,"Eminem, Dr. Dre, 50 Cent",2009
48,If I Were a Boy,Beyoncé,2009
49,Turnin Me On,"Keri Hilson, Lil Wayne",2009
50,I Hate This Part,Pussycat Dolls,2009
51,Gotta Be Somebody,Nickelback,2009
52,Please Don't Leave Me,Pink,2009
53,Paparazzi,Lady Gaga,2009
54,Beautiful,"Akon, Colby O'Donis, Kardinal Offishall",2009
55,Viva la Vida,Coldplay,2009
56,Right Now (Na Na Na),Akon,2009
57,Battlefield,Jordin Sparks,2009
58,Sugar,"Flo Rida, Wynter",2009
59,Miss Independent,Ne-Yo,2009
60,Fireflies,Owl City,2009
61,New Divide,Linkin Park,2009
62,Empire State of Mind,"Jay-Z, Alicia Keys",2009
63,No Surprise,Daughtry,2009
64,She Wolf,Shakira,2009
65,Break Up,"Mario, Gucci Mane, Sean Garrett",2009
66,Sweet Dreams,Beyoncé,2009
67,Every Girl,Young Money,2009
68,Fallin' for You,Colbie Caillat,2009
69,Untouched,The Veronicas,2009
70,If Today Was Your Last Day,Nickelback,2009
71,Throw It in the Bag,"Fabolous, The-Dream",2009
72,Love Drunk,Boys Like Girls,2009
73,I Love College,Asher Roth,2009
74,If U Seek Amy,Britney Spears,2009
75,Big Green Tractor,Jason Aldean,2009
76,White Horse,Taylor Swift,2009
77,Disturbia,Rihanna,2009
78,21 Guns,Green Day,2009
79,Turn My Swag On,Soulja Boy Tell 'Em,2009
80,Rockin' That Thang,The-Dream,2009
81,Chicken Fried,Zac Brown Band,2009
82,Diva,Beyoncé,2009
83,Replay,Iyaz,2009
84,Then,Brad Paisley,2009
85,Her Diamonds,Rob Thomas,2009
86,How Do You Sleep?,"Jesse McCartney, Ludacris",2009
87,3,Britney Spears,2009
88,Forever,"Drake, Kanye West, Lil Wayne, Eminem",2009
89,One Time,Justin Bieber,2009
90,I Run to You,Lady Antebellum,2009
91,I Do Not Hook Up,Kelly Clarkson,2009
92,Green Light,"John Legend, André 3000",2009
93,People Are Crazy,Billy Currington,2009
94,Whatever It Is,Zac Brown Band,2009
95,Already Gone,Kelly Clarkson,2009
96,Goodbye,Kristinia DeBarge,2009
97,Say Hey (I Love You),"Michael Franti & Spearhead, Cherine Anderson",2009
98,Pop Champagne,"Jim Jones, Ron Browz, Juelz Santana",2009
99,Pretty Wings,Maxwell,2009
100,Never Say Never,The Fray,2009
