rank,song_title,artist,year
1,Thrift Shop,"Macklemore & Ryan Lewis, Wanz",2013
2,Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",2013
3,Radioactive,Imagine Dragons,2013
4,Harlem Shake,Baauer,2013
5,Can't Hold Us,"Macklemore & Ryan Lewis, Ray Dalton",2013
6,Mirrors,Justin Timberlake,2013
7,Just Give Me a Reason,"Pink, Nate Ruess",2013
8,When I Was Your Man,Bruno Mars,2013
9,Cruise,"Florida Georgia Line, Nelly",2013
10,Roar,Katy Perry,2013
11,Locked Out of Heaven,Bruno Mars,2013
12,Ho Hey,The Lumineers,2013
13,Stay,"Rihanna, Mikky Ekko",2013
14,Get Lucky,"Daft Punk, Pharrell Williams",2013
15,Royals,Lorde,2013
16,I Knew You Were Trouble,Taylor Swift,2013
17,We Can't Stop,Miley Cyrus,2013
18,Wrecking Ball,Miley Cyrus,2013
19,Wake Me Up,Avicii,2013
20,Suit & Tie,"Justin Timberlake, Jay-Z",2013
22,Holy Grail,"Jay-Z, Justin Timberlake",2013
23,Scream & Shout,"will.i.am, Britney Spears",2013
24,Clarity,"Zedd, Foxes",2013
25,Sail,Awolnation,2013
26,Don't You Worry Child,"Swedish House Mafia, John Martin",2013
27,Diamonds,Rihanna,2013
28,I Love It,"Icona Pop, Charli XCX",2013
29,Safe and Sound,Capital Cities,2013
30,Treasure,Bruno Mars,2013
31,The Way,"Ariana Grande, Mac Miller",2013
32,Started from the Bottom,Drake,2013
33,Come & Get It,Selena Gomez,2013
34,"Hold On, We're Going Home","Drake, Majid Jordan",2013
35,Daylight,Maroon 5,2013
36,Feel This Moment,"Pitbull, Christina Aguilera",2013
37,Applause,Lady Gaga,2013
38,One More Night,Maroon 5,2013
39,Love Me,"Lil Wayne, Drake, Future",2013
40,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,2013
41,Fuckin' Problems,"ASAP Rocky, Drake, 2 Chainz, Kendrick Lamar",2013
42,Beauty and a Beat,"Justin Bieber, Nicki Minaj",2013
43,Same Love,"Macklemore & Ryan Lewis, Mary Lambert",2013
44,Sweet Nothing,"Calvin Harris, Florence Welch",2013
45,Summertime Sadness,"Lana Del Rey, Cédric Gervais",2013
46,Home,Phillip Phillips,2013
47,It's Time,Imagine Dragons,2013
48,Power Trip,"J. Cole, Miguel",2013
49,Girl on Fire,"Alicia Keys, Nicki Minaj",2013
50,Heart Attack,Demi Lovato,2013
51,Love Somebody,Maroon 5,2013
52,I Will Wait,Mumford & Sons,2013
53,Try,Pink,2013
54,Wagon Wheel,Darius Rucker,2013
55,Gangnam Style,Psy,2013
56,I Need Your Love,"Calvin Harris, Ellie Goulding",2013
57,Die Young,Kesha,2013
58,Some Nights,Fun,2013
59,Bad,"Wale, Tiara Thomas, Rihanna",2013
60,Boys 'Round Here,"Blake Shelton, Pistol Annies",2013
61,"Gone, Gone, Gone",Phillip Phillips,2013
62,Demons,Imagine Dragons,2013
63,Counting Stars,OneRepublic,2013
64,I Cry,Flo Rida,2013
65,Little Talks,Of Monsters and Men,2013
66,The Other Side,Jason Derulo,2013
67,Berzerk,Eminem,2013
68,Catch My Breath,Kelly Clarkson,2013
69,Crash My Party,Luke Bryan,2013
70,Pour It Up,Rihanna,2013
71,22,Taylor Swift,2013
72,I Want Crazy,Hunter Hayes,2013
73,The Fox (What Does the Fox Say?),Ylvis,2013
74,Best Song Ever,One Direction,2013
75,The A Team,Ed Sheeran,2013
76,Carry On,Fun,2013
77,Highway Don't Care,"Tim McGraw, Taylor Swift, Keith Urban",2013
78,That's My Kind of Night,Luke Bryan,2013
79,Swimming Pools (Drank),Kendrick Lamar,2013
80,Sure Be Cool If You Did,Blake Shelton,2013
81,#Beautiful,"Mariah Carey, Miguel",2013
82,Troublemaker,"Olly Murs, Flo Rida",2013
83,Body Party,Ciara,2013
84,Adorn,Miguel,2013
85,Hall of Fame,"The Script, will.i.am",2013
86,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,2013
87,U.O.E.N.O.,"Rocko, Future, Rick Ross",2013
88,Next to Me,Emeli Sandé,2013
89,Mama's Broken Heart,Miranda Lambert,2013
90,It Goes Like This,Thomas Rhett,2013
91,Bugatti,"Ace Hood, Future, Rick Ross",2013
92,Wanted,Hunter Hayes,2013
93,Downtown,Lady Antebellum,2013
94,Get Your Shine On,Florida Georgia Line,2013
95,#thatPower,"will.i.am, Justin Bieber",2013
96,Brave,Sara Bareilles,2013
97,Let Her Go,Passenger,2013
98,Runnin' Outta Moonlight,Randy Houser,2013
99,I'm Different,2 Chainz,2013
100,Still Into You,Paramore,2013
