rank,song_title,artist,year
1,Happy,Pharrell Williams,2014
2,Dark Horse,"Katy Perry, Juicy J",2014
3,All of Me,John Legend,2014
4,Fancy,"Iggy Azalea, Charli XCX",2014
5,Counting Stars,OneRepublic,2014
6,Talk Dirty,"Jason Derulo, 2 Chainz",2014
7,Rude,Magic!,2014
8,All About That Bass,Meghan Trainor,2014
9,Problem,"Ariana Grande, Iggy Azalea",2014
10,Stay with Me,Sam Smith,2014
11,Timber,"Pitbull, Kesha",2014
12,Pompeii,Bastille,2014
13,Shake It Off,Taylor Swift,2014
14,Am I Wrong,Nico & Vinz,2014
15,Turn Down for What,"DJ Snake, Lil Jon",2014
16,The Monster,"Eminem, Rihanna",2014
17,Say Something,"A Great Big World, Christina Aguilera",2014
18,Team,Lorde,2014
19,Let Her Go,Passenger,2014
20,Royals,Lorde,2014
21,Let It Go,Idina Menzel,2014
22,Wake Me Up,Avicii,2014
23,Demons,Imagine Dragons,2014
24,Story of My Life,One Direction,2014
25,Chandelier,Sia,2014
26,Black Widow,"Iggy Azalea, Rita Ora",2014
27,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",2014
28,Latch,"Disclosure, Sam Smith",2014
29,Maps,Maroon 5,2014
30,Loyal,"Chris Brown, Lil Wayne, French Montana, Too Short, Tyga",2014
31,Best Day of My Life,American Authors,2014
32,Habits (Stay High),Tove Lo,2014
33,Summer,Calvin Harris,2014
34,Boom Clap,Charli XCX,2014
35,Drunk in Love,"Beyoncé, Jay-Z",2014
36,Anaconda,Nicki Minaj,2014
37,Break Free,"Ariana Grande, Zedd",2014
38,Bailando,"Enrique Iglesias, Descemer Bueno, Gente de Zona",2014
39,Burn,Ellie Goulding,2014
40,Wiggle,"Jason Derulo, Snoop Dogg",2014
41,Rather Be,"Clean Bandit, Jess Glynne",2014
42,Don't Tell 'Em,"Jeremih, YG",2014
43,Show Me,"Kid Ink, Chris Brown",2014
44,Wrecking Ball,Miley Cyrus,2014
45,Not a Bad Thing,Justin Timberlake,2014
46,Roar,Katy Perry,2014
47,Ain't It Fun,Paramore,2014
48,The Man,Aloe Blacc,2014
49,This Is How We Roll,"Florida Georgia Line, Luke Bryan",2014
50,Classic,MKTO,2014
51,A Sky Full of Stars,Coldplay,2014
52,Don't,Ed Sheeran,2014
53,Na Na,Trey Songz,2014
54,Hot Boy,Bobby Shmurda,2014
55,"Hold On, We're Going Home","Drake, Majid Jordan",2014
56,Sing,Ed Sheeran,2014
57,Radioactive,Imagine Dragons,2014
58,My Hitta,"YG, Jeezy, Rich Homie Quan",2014
59,Cool Kids,Echosmith,2014
60,Hey Brother,Avicii,2014
61,Trumpets,Jason Derulo,2014
62,Animals,Maroon 5,2014
63,Burnin' It Down,Jason Aldean,2014
64,Play It Again,Luke Bryan,2014
65,2 On,"Tinashe, ScHoolboy Q",2014
66,Dirt,Florida Georgia Line,2014
67,Love Runs Out,OneRepublic,2014
68,Bottoms Up,Brantley Gilbert,2014
69,Shower,Becky G,2014
70,Me and My Broken Heart,Rixton,2014
71,Animals,Martin Garrix,2014
72,Lifestyle,"Rich Gang, Young Thug, Rich Homie Quan",2014
73,American Kids,Kenny Chesney,2014
74,Brave,Sara Bareilles,2014
75,Sweater Weather,The Neighbourhood,2014
76,Leave the Night On,Sam Hunt,2014
77,New Flame,"Chris Brown, Usher, Rick Ross",2014
78,Love Never Felt So Good,"Michael Jackson, Justin Timberlake",2014
79,Drunk on a Plane,Dierks Bentley,2014
80,Birthday,Katy Perry,2014
81,Bartender,Lady Antebellum,2014
82,La La La,"Naughty Boy, Sam Smith",2014
83,Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",2014
84,Do What U Want,"Lady Gaga, R. Kelly",2014
85,Can't Remember to Forget You,"Shakira, Rihanna",2014
86,Amnesia,5 Seconds of Summer,2014
87,No Mediocre,"T.I., Iggy Azalea",2014
88,Come with Me Now,KONGOS,2014
89,Believe Me,"Lil Wayne, Drake",2014
90,23,"Mike WiLL Made-It, Miley Cyrus, Wiz Khalifa, Juicy J",2014
91,Beachin',Jake Owen,2014
92,White Walls,"Macklemore & Ryan Lewis, ScHoolboy Q, Hollis",2014
93,She Looks So Perfect,5 Seconds of Summer,2014
94,Stay the Night,"Zedd, Hayley Williams",2014
95,Partition,Beyoncé,2014
96,Studio,"ScHoolboy Q, BJ the Chicago Kid",2014
97,0 to 100 / The Catch Up,Drake,2014
98,I Don't Dance,Lee Brice,2014
99,Somethin' Bad,"Miranda Lambert, Carrie Underwood",2014
100,Adore You,Miley Cyrus,2014
