rank,song_title,artist,year
1,Somebody That I Used to Know,"Gotye, Kimbra",2012
2,Call Me Maybe,Carly Rae Jepsen,2012
3,We Are Young,"Fun, Janelle Monáe",2012
4,Payphone,"Maroon 5, Wiz Khalifa",2012
5,Lights,Ellie Goulding,2012
6,Glad You Came,The Wanted,2012
7,Stronger (What Doesn't Kill You),Kelly Clarkson,2012
8,We Found Love,"Rihanna, Calvin Harris",2012
9,Starships,Nicki Minaj,2012
10,What Makes You Beautiful,One Direction,2012
11,Wild Ones,"Flo Rida, Sia",2012
12,Set Fire to the Rain,Adele,2012
13,Sexy and I Know It,LMFAO,2012
14,Some Nights,Fun,2012
15,Wide Awake,Katy Perry,2012
16,Good Feeling,Flo Rida,2012
17,Whistle,Flo Rida,2012
18,One More Night,Maroon 5,2012
19,Drive By,Train,2012
20,The Motto,"Drake, Lil Wayne",2012
21,Where Have You Been,Rihanna,2012
22,Everybody Talks,Neon Trees,2012
23,Take Care,"Drake, Rihanna",2012
24,Titanium,"David Guetta, Sia",2012
25,I Won't Give Up,Jason Mraz,2012
26,It Will Rain,Bruno Mars,2012
27,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",2012
28,Boyfriend,Justin Bieber,2012
29,Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",2012
30,Too Close,Alex Clare,2012
31,Part of Me,Katy Perry,2012
32,"Young, Wild & Free","Snoop Dogg, Wiz Khalifa, Bruno Mars",2012
33,We Are Never Ever Getting Back Together,Taylor Swift,2012
34,As Long as You Love Me,"Justin Bieber, Big Sean",2012
35,Turn Me On,"David Guetta, Nicki Minaj",2012
36,Moves like Jagger,"Maroon 5, Christina Aguilera",2012
37,Blow Me (One Last Kiss),Pink,2012
38,Good Time,"Owl City, Carly Rae Jepsen",2012
39,Give Your Heart a Break,Demi Lovato,2012
40,Niggas in Paris,"Jay-Z, Kanye West",2012
41,The One That Got Away,Katy Perry,2012
42,Feel So Close,Calvin Harris,2012
43,Someone like You,Adele,2012
44,Scream,Usher,2012
45,Rack City,Tyga,2012
46,Domino,Jessie J,2012
47,Gangnam Style,Psy,2012
48,International Love,"Pitbull, Chris Brown",2012
49,Home,Phillip Phillips,2012
50,Without You,"David Guetta, Usher",2012
51,Ass Back Home,"Gym Class Heroes, Neon Hitch",2012
52,Wanted,Hunter Hayes,2012
53,Drunk on You,Luke Bryan,2012
54,No Lie,"2 Chainz, Drake",2012
55,Want U Back,Cher Lloyd,2012
56,Don't Wake Me Up,Chris Brown,2012
57,Dance (A$$),"Big Sean, Nicki Minaj",2012
58,Springsteen,Eric Church,2012
59,Brokenhearted,Karmin,2012
60,Not Over You,Gavin DeGraw,2012
61,Stereo Hearts,"Gym Class Heroes, Adam Levine",2012
62,Back in Time,Pitbull,2012
63,Work Out,J. Cole,2012
64,Rumour Has It,Adele,2012
65,Let's Go,"Calvin Harris, Ne-Yo",2012
66,Good Girl,Carrie Underwood,2012
67,Pontoon,Little Big Town,2012
68,Ho Hey,The Lumineers,2012
69,Paradise,Coldplay,2012
70,Blown Away,Carrie Underwood,2012
71,Rolling in the Deep,Adele,2012
72,Climax,Usher,2012
73,"Work Hard, Play Hard",Wiz Khalifa,2012
74,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,2012
75,Pound the Alarm,Nicki Minaj,2012
76,Come Over,Kenny Chesney,2012
77,Heart Attack,Trey Songz,2012
78,Drank in My Cup,Kirko Bangz,2012
79,Birthday Cake,"Rihanna, Chris Brown",2012
80,So Good,B.o.B,2012
81,50 Ways to Say Goodbye,Train,2012
82,Red Solo Cup,Toby Keith,2012
83,Love You Like a Love Song,Selena Gomez & the Scene,2012
84,Turn Up the Music,Chris Brown,2012
85,Die Young,Kesha,2012
86,5 O'Clock,"T-Pain, Wiz Khalifa, Lily Allen",2012
87,A Thousand Years,Christina Perri,2012
88,Take a Little Ride,Jason Aldean,2012
89,You da One,Rihanna,2012
90,We Run the Night,"Havana Brown, Pitbull",2012
91,It's Time,Imagine Dragons,2012
92,Cashin' Out,Cash Out,2012
93,I Don't Want This Night to End,Luke Bryan,2012
94,Diamonds,Rihanna,2012
95,Hard to Love,Lee Brice,2012
96,Somethin' 'Bout a Truck,Kip Moore,2012
97,Adorn,Miguel,2012
98,Fly Over States,Jason Aldean,2012
99,Even If It Breaks Your Heart,Eli Young Band,2012
100,Burn It Down,Linkin Park,2012
