rank,song_title,artist,year
1,Rolling in the Deep,Adele,2011
2,Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",2011
3,Firework,Katy Perry,2011
4,E.T.,"Katy Perry, Kanye West",2011
5,Give Me Everything,"Pitbull, Ne-Yo, Afrojack, Nayer",2011
6,Grenade,Bruno Mars,2011
7,F**K You (Forget You),CeeLo Green,2011
8,Super Bass,Nicki Minaj,2011
9,Moves like Jagger,"Maroon 5, Christina Aguilera",2011
10,Just Can't Get Enough,The Black Eyed Peas,2011
11,On the Floor,"Jennifer Lopez, Pitbull",2011
12,S&M,Rihanna,2011
13,Pumped Up Kicks,Foster the People,2011
14,Last Friday Night (T.G.I.F.),Katy Perry,2011
15,Just the Way You Are,Bruno Mars,2011
16,Tonight (I'm Lovin' You),"Enrique Iglesias, Ludacris, DJ Frank E",2011
17,Raise Your Glass,Pink,2011
18,Born This Way,Lady Gaga,2011
20,What's My Name?,"Rihanna, Drake",2011
21,Look at Me Now,"Chris Brown, Lil Wayne, Busta Rhymes",2011
22,Down on Me,"Jeremih, 50 Cent",2011
23,How to Love,Lil Wayne,2011
24,Someone Like You,Adele,2011
25,Good Life,OneRepublic,2011
26,The Lazy Song,Bruno Mars,2011
27,Till the World Ends,Britney Spears,2011
28,The Show Goes On,Lupe Fiasco,2011
29,The Edge of Glory,Lady Gaga,2011
30,We R Who We R,Kesha,2011
31,Black and Yellow,Wiz Khalifa,2011
32,Tonight Tonight,Hot Chelle Rae,2011
33,Blow,Kesha,2011
34,Lighters,"Bad Meets Evil, Bruno Mars",2011
35,If I Die Young,The Band Perry,2011
36,Stereo Hearts,"Gym Class Heroes, Adam Levine",2011
37,The Time (Dirty Bit),The Black Eyed Peas,2011
38,Coming Home,"Diddy – Dirty Money, Skylar Grey",2011
39,Hey Baby (Drop It to the Floor),"Pitbull, T-Pain",2011
40,Only Girl (In the World),Rihanna,2011
41,6 Foot 7 Foot,"Lil Wayne, Cory Gunz",2011
42,Just a Kiss,Lady Antebellum,2011
43,Dirt Road Anthem,Jason Aldean,2011
44,Dynamite,Taio Cruz,2011
45,No Hands,"Waka Flocka Flame, Wale, Roscoe Dash",2011
46,I Wanna Go,Britney Spears,2011
47,I'm on One,"DJ Khaled, Drake, Rick Ross, Lil Wayne",2011
48,You Make Me Feel...,"Cobra Starship, Sabi",2011
49,Yeah 3x,Chris Brown,2011
50,Moment 4 Life,"Nicki Minaj, Drake",2011
51,I Need a Doctor,"Dr. Dre, Eminem, Skylar Grey",2011
52,Just a Dream,Nelly,2011
53,Motivation,"Kelly Rowland, Lil Wayne",2011
54,Stereo Love,"Edward Maya, Vika Jigulina",2011
55,Jar of Hearts,Christina Perri,2011
56,Roll Up,Wiz Khalifa,2011
57,Sexy and I Know It,LMFAO,2011
58,Rocketeer,"Far East Movement, Ryan Tedder",2011
59,All of the Lights,Kanye West,2011
60,Hold It Against Me,Britney Spears,2011
61,More,Usher,2011
62,What the Hell,Avril Lavigne,2011
63,Written in the Stars,"Tinie Tempah, Eric Turner",2011
64,Bottoms Up,"Trey Songz, Nicki Minaj",2011
65,DJ Got Us Fallin' in Love,"Usher, Pitbull",2011
66,For the First Time,The Script,2011
67,Honey Bee,Blake Shelton,2011
68,Don't You Wanna Stay,"Jason Aldean, Kelly Clarkson",2011
69,We Found Love,"Rihanna, Calvin Harris",2011
70,Pretty Girl Rock,Keri Hilson,2011
71,Yoü and I,Lady Gaga,2011
72,Like a G6,"Far East Movement, The Cataracs, Dev",2011
73,Without You,"David Guetta, Usher",2011
74,Back to December,Taylor Swift,2011
75,Teenage Dream,Katy Perry,2011
76,Crazy Girl,Eli Young Band,2011
77,Cheers (Drink to That),Rihanna,2011
78,Who Says,Selena Gomez & the Scene,2011
79,Barefoot Blue Jean Night,Jake Owen,2011
80,Knee Deep,"Zac Brown Band, Jimmy Buffett",2011
81,Country Girl (Shake It for Me),Luke Bryan,2011
82,Remind Me,"Brad Paisley, Carrie Underwood",2011
83,In the Dark,Dev,2011
84,Backseat,"New Boyz, The Cataracs, Dev",2011
85,Headlines,Drake,2011
86,Best Thing I Never Had,Beyoncé,2011
87,Don't Wanna Go Home,Jason Derulo,2011
88,Where Them Girls At,"David Guetta, Flo Rida, Nicki Minaj",2011
89,She Ain't You,Chris Brown,2011
90,Take a Back Road,Rodney Atkins,2011
91,Please Don't Go,Mike Posner,2011
92,Sure Thing,Miguel,2011
93,Price Tag,"Jessie J, B.o.B",2011
94,God Gave Me You,Blake Shelton,2011
95,She Will,"Lil Wayne, Drake",2011
96,Are You Gonna Kiss Me or Not,Thompson Square,2011
97,Animal,Neon Trees,2011
98,You and Tequila,"Kenny Chesney, Grace Potter",2011
99,Colder Weather,Zac Brown Band,2011
100,My Last,"Big Sean, Chris Brown",2011
