rank,song_title,artist,year
1,Shape of You,Ed Sheeran,2017
2,Despacito (Remix),Luis Fonsi \& Daddy Yankee feat. Justin Bieber,2017
3,Castle on the Hill,Ed Sheeran,2017
4,Perfect,Ed Sheeran,2017
5,Something Just Like This,The Chainsmokers \& Coldplay,2017
6,Thunder,Imagine Dragons,2017
7,Galway Girl,Ed Sheeran,2017
8,Humble,Kendrick Lamar,2017
9,Glorious,Macklemore feat. Skylar Grey,2017
10,There's Nothing Holdin' Me Back,Shawn Mendes,2017
11,Strip That Down,Liam Payne feat. Quavo,2017
12,Slow Hands,Niall Horan,2017
13,I'm the One,"DJ Khaled feat. Justin Bieber, Quavo, Chance the Rapper \& Lil Wayne",2017
14,Stay,Zedd \& Alessia Cara,2017
15,Issues,Julia Michaels,2017
16,Rockstar,Post Malone feat. 21 Savage,2017
17,I Don't Wanna Live Forever,Zayn \& Taylor Swift,2017
18,Symphony,Clean Bandit feat. Zara Larsson,2017
19,Havana,Camila Cabello feat. Young Thug,2017
20,It Ain't Me,Kygo \& Selena Gomez,2017
21,Unforgettable,French Montana feat. Swae Lee,2017
22,New Rules,Dua Lipa,2017
23,Green Light,Lorde,2017
24,Attention,Charlie Puth,2017
25,That's What I Like,Bruno Mars,2017
26,Mama,Jonas Blue feat. William Singe,2017
27,Body Like a Back Road,Sam Hunt,2017
28,Feels,"Calvin Harris feat. Pharrell Williams, Katy Perry \& Big Sean",2017
29,Wild Thoughts,DJ Khaled feat. Rihanna \& Bryson Tiller,2017
30,Rockabye,Clean Bandit feat. Sean Paul \& Anne-Marie,2017
31,Paris,The Chainsmokers,2017
32,Chameleon,Pnau,2017
33,What About Us,Pink,2017
34,Waves,Dean Lewis,2017
35,1-800-273-8255,Logic feat. Alessia Cara \& Khalid,2017
36,Congratulations,Post Malone feat. Quavo,2017
37,Call on Me (Ryan Riback Remix),Starley,2017
38,Young Dumb \& Broke,Khalid,2017
39,I Feel it Coming,The Weeknd feat. Daft Punk,2017
40,Adore,Amy Shark,2017
41,Slide,Calvin Harris feat. Frank Ocean \& Migos,2017
42,Starboy,The Weeknd feat. Daft Punk,2017
43,Sorry Not Sorry,Demi Lovato,2017
44,Your Song,Rita Ora,2017
45,Say You Won't Let Go,James Arthur,2017
46,Fresh Eyes,Andy Grammer,2017
47,Malibu,Miley Cyrus,2017
48,Scared to Be Lonely,Martin Garrix \& Dua Lipa,2017
49,Redbone,Childish Gambino,2017
50,Silence,Marshmello feat. Khalid,2017
51,Closer,The Chainsmokers feat. Halsey,2017
52,All Time Low,Jon Bellion,2017
53,Too Good at Goodbyes,Sam Smith,2017
54,You Don't Know Me,Jax Jones feat. Raye,2017
55,Feel it Still,Portugal. The Man,2017
56,Sign of the Times,Harry Styles,2017
57,Don't Leave,Snakehips \& Mo,2017
58,Praying,Kesha,2017
59,I Like Me Better,Lauv,2017
60,Pretty Girl (Cheat Codes \& Cade Remix),Maggie Lindemann,2017
61,Look What You Made Me Do,Taylor Swift,2017
62,Most Girls,Hailee Steinfeld,2017
63,Friends,Justin Bieber \& BloodPop,2017
64,Mask Off,Future,2017
65,No Promises,Cheat Codes feat. Demi Lovato,2017
66,Passionfruit,Drake,2017
67,Dusk Till Dawn,Zayn feat. Sia,2017
68,Swalla,Jason Derulo feat. Nicki Minaj \& Ty Dolla Sign,2017
69,2U,David Guetta feat. Justin Bieber,2017
70,What Lovers Do,Maroon 5 feat. SZA,2017
71,Can't Stop the Feeling!,Justin Timberlake,2017
72,Believer,Imagine Dragons,2017
73,I Fall Apart,Post Malone,2017
74,Lovesick,Mura Masa feat. ASAP Rocky,2017
75,Now or Never,Halsey,2017
76,How Far I'll Go,Alessia Cara,2017
77,Touch,Little Mix,2017
78,Stranger,Peking Duk feat. Elliphant,2017
79,Capsize,Frenship \& Emily Warren,2017
80,Bad Liar,Selena Gomez,2017
81,Moments,Bliss N Eso feat. Gavin James,2017
82,24K Magic,Bruno Mars,2017
83,Fallin',Jessica Mauboy,2017
84,Chained to the Rhythm,Katy Perry feat. Skip Marley,2017
85,Mi Gente,J Balvin \& Willy William,2017
86,The Cure,Lady Gaga,2017
87,Scars to Your Beautiful,Alessia Cara,2017
88,Good Old Days,Macklemore feat. Kesha,2017
89,Human,Rag'n'Bone Man,2017
90,Lay it on Me,Vance Joy,2017
91,Play That Song,Train,2017
92,There for You,Martin Garrix \& Troye Sivan,2017
93,Back to You,Louis Tomlinson feat. Bebe Rexha \& Digital Farm Animals,2017
94,Cocoon,Milky Chance,2017
95,Water Under the Bridge,Adele,2017
96,Sexual,Neiked feat. Dyo {Ms D},2017
97,Never Be Like You,Flume feat. Kai,2017
98,Let Me Go,Hailee Steinfeld \& Alesso feat. Florida Georgia Line \& Watt,2017
99,Happier,Ed Sheeran,2017
100,Shed a Light,Robin Schulz \& David Guetta feat. Cheat Codes,2017
